                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90583,                0.59524,                 1.1515,                0.93318,                0.92677,                0.96381,                0.72335,                0.96474,                0.49592,                 1.2542,             0.00026932,             0.00026932,             0.00026932
                     36,                0.91397,                0.60224,                  1.159,                0.93294,                0.94602,                0.96286,                 0.7243,                0.97248,                0.48981,                 1.2317,             0.00026536,             0.00026536,             0.00026536
                     37,                 0.9017,                0.59322,                 1.1533,                0.93955,                 0.9482,                0.96573,                0.72792,                0.98141,                 0.4981,                 1.2388,              0.0002614,              0.0002614,              0.0002614
                     38,                0.90979,                0.59158,                 1.1639,                0.94655,                0.94247,                0.96706,                0.73231,                0.96083,                0.47388,                 1.2312,             0.00025744,             0.00025744,             0.00025744
                     39,                0.88048,                0.57798,                  1.148,                0.94055,                0.93866,                0.96901,                0.73996,                0.95037,                0.47719,                 1.2203,             0.00025348,             0.00025348,             0.00025348
                     40,                0.91084,                0.58407,                 1.1603,                0.96525,                0.94344,                0.97404,                0.73672,                 0.9676,                0.45225,                 1.2225,             0.00024952,             0.00024952,             0.00024952
                     41,                0.88457,                0.56547,                 1.1465,                0.93319,                0.94311,                0.96394,                0.72724,                0.97472,                0.47482,                 1.2344,             0.00024556,             0.00024556,             0.00024556
                     42,                0.87306,                0.57853,                 1.1452,                0.94289,                 0.9474,                0.96851,                0.73512,                0.95773,                0.46181,                 1.2278,              0.0002416,              0.0002416,              0.0002416
                     43,                0.88294,                0.56855,                   1.14,                0.92509,                0.96084,                0.97022,                0.72993,                0.97694,                0.45661,                 1.2343,             0.00023764,             0.00023764,             0.00023764
                     44,                0.87066,                0.55236,                 1.1367,                0.94363,                0.93994,                0.96403,                0.73145,                0.95443,                0.47054,                 1.2282,             0.00023368,             0.00023368,             0.00023368
                     45,                0.86196,                0.55562,                 1.1363,                0.93844,                0.92922,                0.95434,                0.72353,                0.96687,                0.50475,                 1.2468,             0.00022972,             0.00022972,             0.00022972
                     46,                0.85625,                0.54348,                 1.1344,                0.93441,                 0.9395,                0.95587,                0.72793,                0.96175,                0.47356,                 1.2376,             0.00022576,             0.00022576,             0.00022576
                     47,                0.85365,                0.54764,                 1.1274,                0.93994,                0.94901,                0.95832,                0.73295,                0.94695,                0.46905,                 1.2275,              0.0002218,              0.0002218,              0.0002218
                     48,                0.85937,                 0.5437,                  1.138,                0.93749,                0.94203,                 0.9609,                0.72832,                0.96761,                0.46536,                 1.2394,             0.00021784,             0.00021784,             0.00021784
                     49,                0.84057,                0.52502,                 1.1303,                0.94237,                0.94147,                 0.9661,                0.73541,                0.97041,                0.46802,                 1.2389,             0.00021388,             0.00021388,             0.00021388
                     50,                0.84689,                0.53556,                 1.1256,                0.94805,                0.93692,                0.96218,                0.73526,                0.95089,                0.46854,                 1.2254,             0.00020992,             0.00020992,             0.00020992
